Municipal,County,Cases,Date
allendale,bergen county,4,march-25-2020
alpine,bergen county,1,march-25-2020
bergenfield,bergen county,26,march-25-2020
bogota,bergen county,8,march-25-2020
carlstadt,bergen county,6,march-25-2020
cliffside park,bergen county,12,march-25-2020
closter,bergen county,3,march-25-2020
cresskill,bergen county,2,march-25-2020
demarest,bergen county,3,march-25-2020
dumont,bergen county,15,march-25-2020
east rutherford,bergen county,1,march-25-2020
edgewater,bergen county,10,march-25-2020
elmwood park,bergen county,12,march-25-2020
emerson,bergen county,2,march-25-2020
englewood,bergen county,36,march-25-2020
englewood cliffs,bergen county,5,march-25-2020
fair lawn,bergen county,31,march-25-2020
fairview,bergen county,5,march-25-2020
fort lee,bergen county,14,march-25-2020
franklin lakes,bergen county,14,march-25-2020
garfield,bergen county,15,march-25-2020
glen rock,bergen county,9,march-25-2020
hackensack,bergen county,31,march-25-2020
hasbrouck heights,bergen county,7,march-25-2020
haworth,bergen county,2,march-25-2020
hillsdale,bergen county,3,march-25-2020
ho-ho-kus,bergen county,6,march-25-2020
leonia,bergen county,7,march-25-2020
little ferry,bergen county,6,march-25-2020
lodi,bergen county,14,march-25-2020
lyndhurst,bergen county,9,march-25-2020
mahwah,bergen county,13,march-25-2020
maywood,bergen county,7,march-25-2020
midland park,bergen county,1,march-25-2020
montvale,bergen county,8,march-25-2020
moonachie,bergen county,2,march-25-2020
new milford,bergen county,18,march-25-2020
north arlington,bergen county,2,march-25-2020
norwood,bergen county,6,march-25-2020
oakland,bergen county,6,march-25-2020
old tappan,bergen county,8,march-25-2020
oradell,bergen county,9,march-25-2020
palisades park,bergen county,6,march-25-2020
paramus,bergen county,19,march-25-2020
park ridge,bergen county,1,march-25-2020
ramsey,bergen county,4,march-25-2020
ridgefield,bergen county,5,march-25-2020
ridgefield park,bergen county,9,march-25-2020
ridgewood,bergen county,20,march-25-2020
river edge,bergen county,5,march-25-2020
river vale,bergen county,5,march-25-2020
rochelle park,bergen county,1,march-25-2020
rutherford,bergen county,5,march-25-2020
saddle brook,bergen county,7,march-25-2020
saddle river,bergen county,2,march-25-2020
south hackensack,bergen county,2,march-25-2020
teaneck,bergen county,145,march-25-2020
tenafly,bergen county,7,march-25-2020
upper saddle river,bergen county,4,march-25-2020
waldwick,bergen county,2,march-25-2020
wallington,bergen county,1,march-25-2020
washington township,bergen county,7,march-25-2020
westwood,bergen county,5,march-25-2020
wood-ridge,bergen county,7,march-25-2020
woodcliff lake,bergen county,8,march-25-2020
wyckoff,bergen county,9,march-25-2020
barrington,camden county,2,march-25-2020
bellmawr,camden county,1,march-25-2020
camden,camden county,3,march-25-2020
cherry hill,camden county,18,march-25-2020
clementon,camden county,2,march-25-2020
collingswood,camden county,2,march-25-2020
gloucester city,camden county,1,march-25-2020
gloucester township,camden county,4,march-25-2020
haddon township,camden county,2,march-25-2020
haddonfield,camden county,2,march-25-2020
lindenwold,camden county,1,march-25-2020
magnolia,camden county,1,march-25-2020
pennsauken township,camden county,2,march-25-2020
pine hill,camden county,2,march-25-2020
somerdale,camden county,2,march-25-2020
voorhees township,camden county,3,march-25-2020
waterford township,camden county,3,march-25-2020
winslow township,camden county,6,march-25-2020
deptford township,gloucester county,1,march-25-2020
east greenwich township,gloucester county,1,march-25-2020
glassboro,gloucester county,5,march-25-2020
harrison township,gloucester county,3,march-25-2020
logan township,gloucester county,1,march-25-2020
monroe township,gloucester county,1,march-25-2020
washington township,gloucester county,8,march-25-2020
wenonah,gloucester county,1,march-25-2020
west deptford township,gloucester county,2,march-25-2020
woolwich township,gloucester county,3,march-25-2020
bethlehem township,hunterdon county,1,march-25-2020
bloomsbury,hunterdon county,1,march-25-2020
califon,hunterdon county,1,march-25-2020
clinton township,hunterdon county,3,march-25-2020
delaware township,hunterdon county,2,march-25-2020
flemington,hunterdon county,1,march-25-2020
hampton,hunterdon county,1,march-25-2020
holland township,hunterdon county,1,march-25-2020
kingwood township,hunterdon county,1,march-25-2020
lambertville,hunterdon county,2,march-25-2020
raritan township,hunterdon county,8,march-25-2020
readington township,hunterdon county,3,march-25-2020
tewksbury township,hunterdon county,1,march-25-2020
carteret,middlesex county,7,march-25-2020
dunellen,middlesex county,1,march-25-2020
cranbury,middlesex county,2,march-25-2020
east brunswick,middlesex county,17,march-25-2020
edison,middlesex county,19,march-25-2020
helmetta,middlesex county,1,march-25-2020
highland park,middlesex county,6,march-25-2020
metuchen,middlesex county,1,march-25-2020
middlesex,middlesex county,3,march-25-2020
monroe township,middlesex county,17,march-25-2020
new brunswick,middlesex county,8,march-25-2020
north brunswick,middlesex county,9,march-25-2020
old bridge township,middlesex county,25,march-25-2020
perth amboy,middlesex county,15,march-25-2020
piscataway,middlesex county,17,march-25-2020
plainsboro township,middlesex county,6,march-25-2020
sayreville,middlesex county,14,march-25-2020
south amboy,middlesex county,4,march-25-2020
south brunswick,middlesex county,10,march-25-2020
south plainfield,middlesex county,1,march-25-2020
south river,middlesex county,2,march-25-2020
spotswood,middlesex county,3,march-25-2020
woodbridge township,middlesex county,33,march-25-2020
barnegat township,ocean county,6,march-25-2020
barnegat light,ocean county,1,march-25-2020
bay head,ocean county,1,march-25-2020
berkeley township,ocean county,6,march-25-2020
brick township,ocean county,14,march-25-2020
jackson township,ocean county,23,march-25-2020
lacey township,ocean county,4,march-25-2020
lakewood township,ocean county,84,march-25-2020
little egg harbor township,ocean county,2,march-25-2020
long beach township,ocean county,2,march-25-2020
manchester township,ocean county,6,march-25-2020
plumsted township,ocean county,2,march-25-2020
point pleasant beach,ocean county,1,march-25-2020
seaside park,ocean county,1,march-25-2020
south toms river,ocean county,1,march-25-2020
surf city,ocean county,1,march-25-2020
stafford township,ocean county,4,march-25-2020
toms river,ocean county,28,march-25-2020
bedminster,somerset county,6,march-25-2020
bernards township,somerset county,7,march-25-2020
bernardsville,somerset county,6,march-25-2020
bound brook,somerset county,3,march-25-2020
branchburg,somerset county,11,march-25-2020
bridgewater township,somerset county,13,march-25-2020
franklin township,somerset county,30,march-25-2020
green brook township,somerset county,5,march-25-2020
hillsborough township,somerset county,11,march-25-2020
manville,somerset county,4,march-25-2020
montgomery,somerset county,10,march-25-2020
north plainfield,somerset county,11,march-25-2020
peapack and gladstone,somerset county,2,march-25-2020
raritan,somerset county,3,march-25-2020
somerville,somerset county,3,march-25-2020
south bound brook,somerset county,1,march-25-2020
warren township,somerset county,10,march-25-2020
watchung,somerset county,3,march-25-2020
andover township,sussex county,1,march-25-2020
branchville,sussex county,1,march-25-2020
byram township,sussex county,1,march-25-2020
frankford township,sussex county,3,march-25-2020
hamburg,sussex county,1,march-25-2020
hampton township,sussex county,1,march-25-2020
hardyston township,sussex county,1,march-25-2020
hopatcong,sussex county,2,march-25-2020
vernon township,sussex county,1,march-25-2020
newton,sussex county,1,march-25-2020
sparta township,sussex county,7,march-25-2020
stanhope,sussex county,1,march-25-2020
allendale,bergen county,6,march-26-2020
alpine,bergen county,1,march-26-2020
bergenfield,bergen county,41,march-26-2020
bogota,bergen county,12,march-26-2020
carlstadt,bergen county,7,march-26-2020
cliffside park,bergen county,13,march-26-2020
closter,bergen county,3,march-26-2020
cresskill,bergen county,3,march-26-2020
demarest,bergen county,5,march-26-2020
dumont,bergen county,16,march-26-2020
east rutherford,bergen county,3,march-26-2020
edgewater,bergen county,10,march-26-2020
elmwood park,bergen county,16,march-26-2020
emerson,bergen county,2,march-26-2020
englewood,bergen county,70,march-26-2020
englewood cliffs,bergen county,5,march-26-2020
fair lawn,bergen county,31,march-26-2020
fairview,bergen county,6,march-26-2020
fort lee,bergen county,18,march-26-2020
franklin lakes,bergen county,17,march-26-2020
garfield,bergen county,19,march-26-2020
glen rock,bergen county,11,march-26-2020
hackensack,bergen county,39,march-26-2020
hasbrouck heights,bergen county,9,march-26-2020
haworth,bergen county,3,march-26-2020
hillsdale,bergen county,3,march-26-2020
ho-ho-kus,bergen county,6,march-26-2020
leonia,bergen county,7,march-26-2020
little ferry,bergen county,6,march-26-2020
lodi,bergen county,20,march-26-2020
lyndhurst,bergen county,14,march-26-2020
mahwah,bergen county,13,march-26-2020
maywood,bergen county,8,march-26-2020
midland park,bergen county,1,march-26-2020
montvale,bergen county,8,march-26-2020
moonachie,bergen county,2,march-26-2020
new milford,bergen county,23,march-26-2020
north arlington,bergen county,4,march-26-2020
northvale,bergen county,1,march-26-2020
norwood,bergen county,8,march-26-2020
oakland,bergen county,8,march-26-2020
old tappan,bergen county,8,march-26-2020
oradell,bergen county,9,march-26-2020
palisades park,bergen county,7,march-26-2020
paramus,bergen county,21,march-26-2020
park ridge,bergen county,4,march-26-2020
ramsey,bergen county,7,march-26-2020
ridgefield,bergen county,6,march-26-2020
ridgefield park,bergen county,11,march-26-2020
ridgewood,bergen county,24,march-26-2020
river edge,bergen county,9,march-26-2020
river vale,bergen county,5,march-26-2020
rochelle park,bergen county,3,march-26-2020
rutherford,bergen county,6,march-26-2020
saddle brook,bergen county,7,march-26-2020
saddle river,bergen county,2,march-26-2020
south hackensack,bergen county,2,march-26-2020
teaneck,bergen county,166,march-26-2020
tenafly,bergen county,8,march-26-2020
upper saddle river,bergen county,5,march-26-2020
waldwick,bergen county,4,march-26-2020
wallington,bergen county,4,march-26-2020
washington township,bergen county,7,march-26-2020
westwood,bergen county,5,march-26-2020
wood-ridge,bergen county,9,march-26-2020
woodcliff lake,bergen county,9,march-26-2020
wyckoff,bergen county,11,march-26-2020
burlington township,burlington county,4,march-26-2020
cinnaminson township,burlington county,3,march-26-2020
chesterfield township,burlington county,2,march-26-2020
delanco township,burlington county,3,march-26-2020
delran township,burlington county,2,march-26-2020
eastampton township,burlington county,1,march-26-2020
evesham township,burlington county,9,march-26-2020
florence township,burlington county,2,march-26-2020
lumberton township,burlington county,3,march-26-2020
mansfield township,burlington county,3,march-26-2020
medford lakes,burlington county,1,march-26-2020
mount laurel,burlington county,8,march-26-2020
moorestown,burlington county,4,march-26-2020
pemberton township,burlington county,2,march-26-2020
riverton,burlington county,2,march-26-2020
southampton township,burlington county,1,march-26-2020
tabernacle township,burlington county,1,march-26-2020
willingboro township,burlington county,3,march-26-2020
barrington,camden county,2,march-26-2020
bellmawr,camden county,1,march-26-2020
camden,camden county,3,march-26-2020
cherry hill,camden county,18,march-26-2020
clementon,camden county,2,march-26-2020
collingswood,camden county,2,march-26-2020
gloucester city,camden county,1,march-26-2020
gloucester township,camden county,4,march-26-2020
haddon township,camden county,2,march-26-2020
haddonfield,camden county,2,march-26-2020
lindenwold,camden county,1,march-26-2020
magnolia,camden county,1,march-26-2020
pennsauken township,camden county,2,march-26-2020
pine hill,camden county,2,march-26-2020
somerdale,camden county,2,march-26-2020
voorhees township,camden county,3,march-26-2020
waterford township,camden county,3,march-26-2020
winslow township,camden county,6,march-26-2020
deptford township,gloucester county,3,march-26-2020
east greenwich township,gloucester county,1,march-26-2020
glassboro,gloucester county,6,march-26-2020
harrison township,gloucester county,3,march-26-2020
logan township,gloucester county,1,march-26-2020
monroe township,gloucester county,1,march-26-2020
washington township,gloucester county,8,march-26-2020
wenonah,gloucester county,1,march-26-2020
west deptford township,gloucester county,2,march-26-2020
woodbury,gloucester county,2,march-26-2020
woolwich township,gloucester county,5,march-26-2020
bethlehem township,hunterdon county,2,march-26-2020
bloomsbury,hunterdon county,1,march-26-2020
califon,hunterdon county,2,march-26-2020
clinton township,hunterdon county,4,march-26-2020
delaware township,hunterdon county,2,march-26-2020
flemington,hunterdon county,5,march-26-2020
glen gardner,hunterdon county,1,march-26-2020
hampton,hunterdon county,1,march-26-2020
holland township,hunterdon county,1,march-26-2020
kingwood township,hunterdon county,1,march-26-2020
lambertville,hunterdon county,2,march-26-2020
raritan township,hunterdon county,9,march-26-2020
readington township,hunterdon county,3,march-26-2020
tewksbury township,hunterdon county,1,march-26-2020
carteret,middlesex county,7,march-26-2020
dunellen,middlesex county,1,march-26-2020
cranbury,middlesex county,2,march-26-2020
east brunswick,middlesex county,19,march-26-2020
edison,middlesex county,23,march-26-2020
helmetta,middlesex county,2,march-26-2020
highland park,middlesex county,6,march-26-2020
jamesburg,middlesex county,1,march-26-2020
metuchen,middlesex county,1,march-26-2020
middlesex,middlesex county,3,march-26-2020
monroe township,middlesex county,19,march-26-2020
new brunswick,middlesex county,9,march-26-2020
north brunswick,middlesex county,11,march-26-2020
old bridge township,middlesex county,28,march-26-2020
perth amboy,middlesex county,16,march-26-2020
piscataway,middlesex county,17,march-26-2020
plainsboro township,middlesex county,7,march-26-2020
sayreville,middlesex county,14,march-26-2020
south amboy,middlesex county,4,march-26-2020
south brunswick,middlesex county,13,march-26-2020
south plainfield,middlesex county,3,march-26-2020
south river,middlesex county,5,march-26-2020
spotswood,middlesex county,3,march-26-2020
woodbridge township,middlesex county,39,march-26-2020
barnegat township,ocean county,10,march-26-2020
barnegat light,ocean county,1,march-26-2020
bay head,ocean county,1,march-26-2020
berkeley township,ocean county,17,march-26-2020
brick township,ocean county,22,march-26-2020
island heights,ocean county,1,march-26-2020
jackson township,ocean county,35,march-26-2020
lacey township,ocean county,10,march-26-2020
lakewood township,ocean county,141,march-26-2020
little egg harbor township,ocean county,3,march-26-2020
long beach township,ocean county,2,march-26-2020
manchester township,ocean county,11,march-26-2020
plumsted township,ocean county,3,march-26-2020
point pleasant beach,ocean county,1,march-26-2020
seaside park,ocean county,1,march-26-2020
ship bottom,ocean county,1,march-26-2020
south toms river,ocean county,1,march-26-2020
surf city,ocean county,1,march-26-2020
stafford township,ocean county,5,march-26-2020
toms river,ocean county,40,march-26-2020
bloomingdale,passaic county,3,march-26-2020
clifton,passaic county,65,march-26-2020
haledon,passaic county,2,march-26-2020
hawthorne,passaic county,11,march-26-2020
little falls,passaic county,3,march-26-2020
north haledon,passaic county,2,march-26-2020
passaic,passaic county,36,march-26-2020
paterson,passaic county,67,march-26-2020
pompton lakes,passaic county,5,march-26-2020
prospect park,passaic county,3,march-26-2020
ringwood,passaic county,8,march-26-2020
totowa,passaic county,4,march-26-2020
wanaque,passaic county,9,march-26-2020
wayne,passaic county,41,march-26-2020
west milford,passaic county,8,march-26-2020
woodland park,passaic county,9,march-26-2020
bedminster,somerset county,7,march-26-2020
bernards township,somerset county,12,march-26-2020
bernardsville,somerset county,8,march-26-2020
bound brook,somerset county,5,march-26-2020
branchburg,somerset county,12,march-26-2020
bridgewater township,somerset county,20,march-26-2020
franklin township,somerset county,41,march-26-2020
green brook township,somerset county,4,march-26-2020
hillsborough township,somerset county,18,march-26-2020
manville,somerset county,7,march-26-2020
millstone,somerset county,1,march-26-2020
montgomery,somerset county,11,march-26-2020
north plainfield,somerset county,12,march-26-2020
peapack and gladstone,somerset county,2,march-26-2020
raritan,somerset county,3,march-26-2020
somerville,somerset county,3,march-26-2020
south bound brook,somerset county,3,march-26-2020
warren township,somerset county,12,march-26-2020
watchung,somerset county,7,march-26-2020
andover township,sussex county,1,march-26-2020
branchville,sussex county,1,march-26-2020
byram township,sussex county,1,march-26-2020
frankford township,sussex county,5,march-26-2020
hamburg,sussex county,1,march-26-2020
hampton township,sussex county,2,march-26-2020
hardyston township,sussex county,3,march-26-2020
hopatcong,sussex county,2,march-26-2020
vernon township,sussex county,2,march-26-2020
newton,sussex county,2,march-26-2020
sandyston township,sussex county,1,march-26-2020
sparta township,sussex county,8,march-26-2020
stanhope,sussex county,1,march-26-2020
wantage township,sussex county,1,march-26-2020
allendale,bergen county,6,march-27-2020
alpine,bergen county,3,march-27-2020
bergenfield,bergen county,72,march-27-2020
bogota,bergen county,16,march-27-2020
carlstadt,bergen county,9,march-27-2020
cliffside park,bergen county,22,march-27-2020
closter,bergen county,4,march-27-2020
cresskill,bergen county,3,march-27-2020
demarest,bergen county,6,march-27-2020
dumont,bergen county,24,march-27-2020
east rutherford,bergen county,5,march-27-2020
edgewater,bergen county,19,march-27-2020
elmwood park,bergen county,20,march-27-2020
emerson,bergen county,3,march-27-2020
englewood,bergen county,70,march-27-2020
englewood cliffs,bergen county,5,march-27-2020
fair lawn,bergen county,31,march-27-2020
fairview,bergen county,8,march-27-2020
fort lee,bergen county,34,march-27-2020
franklin lakes,bergen county,21,march-27-2020
garfield,bergen county,37,march-27-2020
glen rock,bergen county,12,march-27-2020
hackensack,bergen county,67,march-27-2020
hasbrouck heights,bergen county,16,march-27-2020
haworth,bergen county,3,march-27-2020
hillsdale,bergen county,6,march-27-2020
ho-ho-kus,bergen county,8,march-27-2020
leonia,bergen county,8,march-27-2020
little ferry,bergen county,11,march-27-2020
lodi,bergen county,34,march-27-2020
lyndhurst,bergen county,27,march-27-2020
mahwah,bergen county,20,march-27-2020
maywood,bergen county,9,march-27-2020
midland park,bergen county,2,march-27-2020
montvale,bergen county,9,march-27-2020
moonachie,bergen county,6,march-27-2020
new milford,bergen county,36,march-27-2020
north arlington,bergen county,12,march-27-2020
northvale,bergen county,4,march-27-2020
norwood,bergen county,8,march-27-2020
oakland,bergen county,9,march-27-2020
old tappan,bergen county,13,march-27-2020
oradell,bergen county,11,march-27-2020
palisades park,bergen county,12,march-27-2020
paramus,bergen county,29,march-27-2020
park ridge,bergen county,6,march-27-2020
ramsey,bergen county,8,march-27-2020
ridgefield,bergen county,12,march-27-2020
ridgefield park,bergen county,17,march-27-2020
ridgewood,bergen county,32,march-27-2020
river edge,bergen county,12,march-27-2020
river vale,bergen county,5,march-27-2020
rochelle park,bergen county,5,march-27-2020
rutherford,bergen county,12,march-27-2020
saddle brook,bergen county,8,march-27-2020
saddle river,bergen county,4,march-27-2020
south hackensack,bergen county,6,march-27-2020
teaneck,bergen county,213,march-27-2020
tenafly,bergen county,11,march-27-2020
upper saddle river,bergen county,9,march-27-2020
waldwick,bergen county,4,march-27-2020
wallington,bergen county,5,march-27-2020
washington township,bergen county,7,march-27-2020
westwood,bergen county,5,march-27-2020
wood-ridge,bergen county,10,march-27-2020
woodcliff lake,bergen county,11,march-27-2020
wyckoff,bergen county,14,march-27-2020
bordentown,burlington county,1,march-27-2020
bordentown township,burlington county,4,march-27-2020
burlington township,burlington county,4,march-27-2020
cinnaminson township,burlington county,4,march-27-2020
chesterfield township,burlington county,2,march-27-2020
delanco township,burlington county,3,march-27-2020
delran township,burlington county,3,march-27-2020
eastampton township,burlington county,1,march-27-2020
evesham township,burlington county,9,march-27-2020
florence township,burlington county,2,march-27-2020
lumberton township,burlington county,3,march-27-2020
mansfield township,burlington county,3,march-27-2020
medford lakes,burlington county,1,march-27-2020
mount laurel,burlington county,9,march-27-2020
moorestown,burlington county,4,march-27-2020
pemberton,burlington county,2,march-27-2020
pemberton township,burlington county,1,march-27-2020
riverton,burlington county,2,march-27-2020
southampton township,burlington county,1,march-27-2020
springfield township,burlington county,1,march-27-2020
tabernacle township,burlington county,1,march-27-2020
willingboro township,burlington county,3,march-27-2020
barrington,camden county,2,march-27-2020
bellmawr,camden county,1,march-27-2020
camden,camden county,2,march-27-2020
cherry hill,camden county,21,march-27-2020
clementon,camden county,2,march-27-2020
collingswood,camden county,2,march-27-2020
gloucester city,camden county,1,march-27-2020
gloucester township,camden county,7,march-27-2020
haddon heights,camden county,1,march-27-2020
haddon township,camden county,2,march-27-2020
haddonfield,camden county,3,march-27-2020
lindenwold,camden county,1,march-27-2020
magnolia,camden county,1,march-27-2020
oaklyn,camden county,1,march-27-2020
pennsauken township,camden county,3,march-27-2020
pine hill,camden county,2,march-27-2020
somerdale,camden county,2,march-27-2020
voorhees township,camden county,2,march-27-2020
waterford township,camden county,3,march-27-2020
winslow township,camden county,6,march-27-2020
deptford township,gloucester county,3,march-27-2020
east greenwich township,gloucester county,1,march-27-2020
glassboro,gloucester county,6,march-27-2020
harrison township,gloucester county,3,march-27-2020
logan township,gloucester county,1,march-27-2020
monroe township,gloucester county,1,march-27-2020
washington township,gloucester county,8,march-27-2020
wenonah,gloucester county,1,march-27-2020
west deptford township,gloucester county,2,march-27-2020
woodbury,gloucester county,2,march-27-2020
woolwich township,gloucester county,5,march-27-2020
bethlehem township,hunterdon county,2,march-27-2020
bloomsbury,hunterdon county,1,march-27-2020
califon,hunterdon county,2,march-27-2020
clinton township,hunterdon county,5,march-27-2020
delaware township,hunterdon county,3,march-27-2020
flemington,hunterdon county,5,march-27-2020
glen gardner,hunterdon county,1,march-27-2020
hampton,hunterdon county,1,march-27-2020
high bridge,hunterdon county,1,march-27-2020
holland township,hunterdon county,1,march-27-2020
kingwood township,hunterdon county,1,march-27-2020
lambertville,hunterdon county,3,march-27-2020
raritan township,hunterdon county,14,march-27-2020
readington township,hunterdon county,5,march-27-2020
tewksbury township,hunterdon county,2,march-27-2020
west amwell township,hunterdon county,1,march-27-2020
carteret,middlesex county,10,march-27-2020
dunellen,middlesex county,4,march-27-2020
cranbury,middlesex county,5,march-27-2020
east brunswick,middlesex county,37,march-27-2020
edison,middlesex county,42,march-27-2020
helmetta,middlesex county,3,march-27-2020
highland park,middlesex county,12,march-27-2020
jamesburg,middlesex county,4,march-27-2020
metuchen,middlesex county,2,march-27-2020
middlesex,middlesex county,6,march-27-2020
monroe township,middlesex county,30,march-27-2020
new brunswick,middlesex county,15,march-27-2020
north brunswick,middlesex county,16,march-27-2020
old bridge township,middlesex county,45,march-27-2020
perth amboy,middlesex county,25,march-27-2020
piscataway,middlesex county,31,march-27-2020
plainsboro township,middlesex county,8,march-27-2020
sayreville,middlesex county,26,march-27-2020
south amboy,middlesex county,10,march-27-2020
south brunswick,middlesex county,18,march-27-2020
south plainfield,middlesex county,6,march-27-2020
south river,middlesex county,7,march-27-2020
spotswood,middlesex county,4,march-27-2020
woodbridge township,middlesex county,39,march-27-2020
barnegat township,ocean county,12,march-27-2020
barnegat light,ocean county,1,march-27-2020
bay head,ocean county,1,march-27-2020
beachwood,ocean county,3,march-27-2020
berkeley township,ocean county,28,march-27-2020
brick township,ocean county,33,march-27-2020
island heights,ocean county,1,march-27-2020
jackson township,ocean county,52,march-27-2020
lacey township,ocean county,12,march-27-2020
lakewood township,ocean county,198,march-27-2020
little egg harbor township,ocean county,4,march-27-2020
long beach township,ocean county,2,march-27-2020
manchester township,ocean county,20,march-27-2020
ocean gate,ocean county,1,march-27-2020
ocean township,ocean county,2,march-27-2020
plumsted township,ocean county,3,march-27-2020
point pleasant beach,ocean county,2,march-27-2020
point pleasant,ocean county,18,march-27-2020
seaside park,ocean county,1,march-27-2020
ship bottom,ocean county,2,march-27-2020
south toms river,ocean county,3,march-27-2020
surf city,ocean county,1,march-27-2020
stafford township,ocean county,7,march-27-2020
toms river,ocean county,60,march-27-2020
bloomingdale,passaic county,3,march-27-2020
clifton,passaic county,65,march-27-2020
haledon,passaic county,2,march-27-2020
hawthorne,passaic county,11,march-27-2020
little falls,passaic county,3,march-27-2020
north haledon,passaic county,2,march-27-2020
passaic,passaic county,36,march-27-2020
paterson,passaic county,67,march-27-2020
pompton lakes,passaic county,5,march-27-2020
prospect park,passaic county,3,march-27-2020
ringwood,passaic county,8,march-27-2020
totowa,passaic county,4,march-27-2020
wanaque,passaic county,9,march-27-2020
wayne,passaic county,41,march-27-2020
west milford,passaic county,8,march-27-2020
woodland park,passaic county,9,march-27-2020
bedminster,somerset county,7,march-27-2020
bernards township,somerset county,12,march-27-2020
bernardsville,somerset county,8,march-27-2020
bound brook,somerset county,5,march-27-2020
branchburg,somerset county,12,march-27-2020
bridgewater township,somerset county,20,march-27-2020
franklin township,somerset county,41,march-27-2020
green brook township,somerset county,4,march-27-2020
hillsborough township,somerset county,18,march-27-2020
manville,somerset county,7,march-27-2020
millstone,somerset county,1,march-27-2020
montgomery,somerset county,11,march-27-2020
north plainfield,somerset county,12,march-27-2020
peapack and gladstone,somerset county,2,march-27-2020
raritan,somerset county,3,march-27-2020
somerville,somerset county,3,march-27-2020
south bound brook,somerset county,3,march-27-2020
warren township,somerset county,12,march-27-2020
watchung,somerset county,7,march-27-2020
andover,sussex county,1,march-27-2020
andover township,sussex county,1,march-27-2020
branchville,sussex county,1,march-27-2020
byram township,sussex county,1,march-27-2020
fredon township,sussex county,1,march-27-2020
frankford township,sussex county,5,march-27-2020
hamburg,sussex county,2,march-27-2020
hampton township,sussex county,2,march-27-2020
hardyston township,sussex county,4,march-27-2020
hopatcong,sussex county,5,march-27-2020
vernon township,sussex county,2,march-27-2020
ogdensburg,sussex county,1,march-27-2020
lafayette township,sussex county,1,march-27-2020
newton,sussex county,4,march-27-2020
sandyston township,sussex county,1,march-27-2020
sparta township,sussex county,10,march-27-2020
stanhope,sussex county,1,march-27-2020
wantage township,sussex county,3,march-27-2020
allendale,bergen county,6,march-28-2020
alpine,bergen county,3,march-28-2020
bergenfield,bergen county,72,march-28-2020
bogota,bergen county,16,march-28-2020
carlstadt,bergen county,9,march-28-2020
cliffside park,bergen county,22,march-28-2020
closter,bergen county,4,march-28-2020
cresskill,bergen county,3,march-28-2020
demarest,bergen county,6,march-28-2020
dumont,bergen county,24,march-28-2020
east rutherford,bergen county,5,march-28-2020
edgewater,bergen county,19,march-28-2020
elmwood park,bergen county,20,march-28-2020
emerson,bergen county,3,march-28-2020
englewood,bergen county,70,march-28-2020
englewood cliffs,bergen county,5,march-28-2020
fair lawn,bergen county,31,march-28-2020
fairview,bergen county,8,march-28-2020
fort lee,bergen county,34,march-28-2020
franklin lakes,bergen county,21,march-28-2020
garfield,bergen county,37,march-28-2020
glen rock,bergen county,12,march-28-2020
hackensack,bergen county,67,march-28-2020
hasbrouck heights,bergen county,16,march-28-2020
haworth,bergen county,3,march-28-2020
hillsdale,bergen county,6,march-28-2020
ho-ho-kus,bergen county,8,march-28-2020
leonia,bergen county,8,march-28-2020
little ferry,bergen county,11,march-28-2020
lodi,bergen county,34,march-28-2020
lyndhurst,bergen county,27,march-28-2020
mahwah,bergen county,20,march-28-2020
maywood,bergen county,9,march-28-2020
midland park,bergen county,2,march-28-2020
montvale,bergen county,9,march-28-2020
moonachie,bergen county,6,march-28-2020
new milford,bergen county,36,march-28-2020
north arlington,bergen county,12,march-28-2020
northvale,bergen county,4,march-28-2020
norwood,bergen county,8,march-28-2020
oakland,bergen county,9,march-28-2020
old tappan,bergen county,13,march-28-2020
oradell,bergen county,11,march-28-2020
palisades park,bergen county,12,march-28-2020
paramus,bergen county,29,march-28-2020
park ridge,bergen county,6,march-28-2020
ramsey,bergen county,8,march-28-2020
ridgefield,bergen county,12,march-28-2020
ridgefield park,bergen county,17,march-28-2020
ridgewood,bergen county,32,march-28-2020
river edge,bergen county,12,march-28-2020
river vale,bergen county,5,march-28-2020
rochelle park,bergen county,5,march-28-2020
rutherford,bergen county,12,march-28-2020
saddle brook,bergen county,8,march-28-2020
saddle river,bergen county,4,march-28-2020
south hackensack,bergen county,6,march-28-2020
teaneck,bergen county,213,march-28-2020
tenafly,bergen county,11,march-28-2020
upper saddle river,bergen county,9,march-28-2020
waldwick,bergen county,4,march-28-2020
wallington,bergen county,5,march-28-2020
washington township,bergen county,7,march-28-2020
westwood,bergen county,5,march-28-2020
wood-ridge,bergen county,10,march-28-2020
woodcliff lake,bergen county,11,march-28-2020
wyckoff,bergen county,14,march-28-2020
bordentown,burlington county,1,march-28-2020
bordentown township,burlington county,4,march-28-2020
burlington township,burlington county,10,march-28-2020
cinnaminson township,burlington county,4,march-28-2020
chesterfield township,burlington county,2,march-28-2020
delanco township,burlington county,3,march-28-2020
delran township,burlington county,3,march-28-2020
eastampton township,burlington county,1,march-28-2020
evesham township,burlington county,12,march-28-2020
florence township,burlington county,2,march-28-2020
hainesport township,burlington county,1,march-28-2020
lumberton township,burlington county,3,march-28-2020
mansfield township,burlington county,3,march-28-2020
maple shade township,burlington county,1,march-28-2020
medford lakes,burlington county,1,march-28-2020
mount holly,burlington county,2,march-28-2020
mount laurel,burlington county,10,march-28-2020
moorestown,burlington county,4,march-28-2020
