Municipal,County,Cases,Date
atlantic city,atlantic county,132,may-9-2020
brigantine,atlantic county,19,may-9-2020
buena,atlantic county,29,may-9-2020
buena vista township,atlantic county,19,may-9-2020
corbin city,atlantic county,1,may-9-2020
egg harbor city,atlantic county,17,may-9-2020
egg harbor township,atlantic county,179,may-9-2020
estell manor,atlantic county,7,may-9-2020
folsom,atlantic county,8,may-9-2020
galloway township,atlantic county,165,may-9-2020
hamilton township,atlantic county,106,may-9-2020
hammonton,atlantic county,241,may-9-2020
linwood,atlantic county,53,may-9-2020
longport,atlantic county,2,may-9-2020
margate city,atlantic county,14,may-9-2020
mullica township,atlantic county,14,may-9-2020
northfield,atlantic county,63,may-9-2020
port republic,atlantic county,2,may-9-2020
pleasantville,atlantic county,128,may-9-2020
somers point,atlantic county,30,may-9-2020
ventnor city,atlantic county,27,may-9-2020
weymouth township,atlantic county,10,may-9-2020
allendale,bergen county,58,may-9-2020
alpine,bergen county,22,may-9-2020
bergenfield,bergen county,747,may-9-2020
bogota,bergen county,164,may-9-2020
carlstadt,bergen county,91,may-9-2020
cliffside park,bergen county,459,may-9-2020
closter,bergen county,80,may-9-2020
cresskill,bergen county,108,may-9-2020
demarest,bergen county,46,may-9-2020
dumont,bergen county,288,may-9-2020
east rutherford,bergen county,130,may-9-2020
edgewater,bergen county,126,may-9-2020
elmwood park,bergen county,497,may-9-2020
emerson,bergen county,191,may-9-2020
englewood,bergen county,729,may-9-2020
englewood cliffs,bergen county,53,may-9-2020
fair lawn,bergen county,577,may-9-2020
fairview,bergen county,338,may-9-2020
fort lee,bergen county,421,may-9-2020
franklin lakes,bergen county,143,may-9-2020
garfield,bergen county,728,may-9-2020
glen rock,bergen county,113,may-9-2020
hackensack,bergen county,1227,may-9-2020
harrington park,bergen county,27,may-9-2020
hasbrouck heights,bergen county,194,may-9-2020
haworth,bergen county,35,may-9-2020
hillsdale,bergen county,105,may-9-2020
ho-ho-kus,bergen county,44,may-9-2020
leonia,bergen county,106,may-9-2020
little ferry,bergen county,184,may-9-2020
lodi,bergen county,620,may-9-2020
lyndhurst,bergen county,359,may-9-2020
mahwah,bergen county,248,may-9-2020
maywood,bergen county,220,may-9-2020
midland park,bergen county,84,may-9-2020
montvale,bergen county,70,may-9-2020
moonachie,bergen county,64,may-9-2020
new milford,bergen county,422,may-9-2020
north arlington,bergen county,252,may-9-2020
northvale,bergen county,52,may-9-2020
norwood,bergen county,69,may-9-2020
oakland,bergen county,213,may-9-2020
old tappan,bergen county,61,may-9-2020
oradell,bergen county,170,may-9-2020
palisades park,bergen county,235,may-9-2020
paramus,bergen county,910,may-9-2020
park ridge,bergen county,152,may-9-2020
ramsey,bergen county,124,may-9-2020
ridgefield,bergen county,181,may-9-2020
ridgefield park,bergen county,255,may-9-2020
ridgewood,bergen county,279,may-9-2020
river edge,bergen county,132,may-9-2020
river vale,bergen county,104,may-9-2020
rochelle park,bergen county,146,may-9-2020
rockleigh,bergen county,101,may-9-2020
rutherford,bergen county,179,may-9-2020
saddle brook,bergen county,292,may-9-2020
saddle river,bergen county,74,may-9-2020
south hackensack,bergen county,56,may-9-2020
teaneck,bergen county,1012,may-9-2020
tenafly,bergen county,150,may-9-2020
teterboro,bergen county,5,may-9-2020
upper saddle river,bergen county,50,may-9-2020
waldwick,bergen county,130,may-9-2020
wallington,bergen county,156,may-9-2020
washington township,bergen county,98,may-9-2020
westwood,bergen county,189,may-9-2020
woodcliff lake,bergen county,112,may-9-2020
wood-ridge,bergen county,135,may-9-2020
wyckoff,bergen county,278,may-9-2020
bass river township,burlington county,4,may-9-2020
beverly,burlington county,14,may-9-2020
bordentown,burlington county,23,may-9-2020
bordentown township,burlington county,65,may-9-2020
burlington,burlington county,73,may-9-2020
burlington township,burlington county,336,may-9-2020
chesterfield township,burlington county,25,may-9-2020
cinnaminson township,burlington county,81,may-9-2020
delanco township,burlington county,33,may-9-2020
delran township,burlington county,87,may-9-2020
eastampton township,burlington county,45,may-9-2020
edgewater park,burlington county,75,may-9-2020
evesham township,burlington county,218,may-9-2020
fieldsboro,burlington county,5,may-9-2020
florence township,burlington county,73,may-9-2020
hainesport township,burlington county,30,may-9-2020
lumberton township,burlington county,91,may-9-2020
mansfield township,burlington county,52,may-9-2020
maple shade township,burlington county,165,may-9-2020
medford,burlington county,77,may-9-2020
medford lakes,burlington county,9,may-9-2020
moorestown,burlington county,211,may-9-2020
mount holly,burlington county,64,may-9-2020
mount laurel,burlington county,186,may-9-2020
new hanover township,burlington county,22,may-9-2020
north hanover township,burlington county,23,may-9-2020
palmyra,burlington county,35,may-9-2020
pemberton,burlington county,4,may-9-2020
pemberton township,burlington county,306,may-9-2020
riverside township,burlington county,56,may-9-2020
riverton,burlington county,5,may-9-2020
shamong township,burlington county,17,may-9-2020
southampton township,burlington county,50,may-9-2020
springfield township,burlington county,13,may-9-2020
tabernacle township,burlington county,18,may-9-2020
westampton township,burlington county,74,may-9-2020
willingboro township,burlington county,478,may-9-2020
woodland township,burlington county,198,may-9-2020
wrightstown,burlington county,6,may-9-2020
audubon,camden county,33,may-9-2020
audubon park,camden county,2,may-9-2020
barrington,camden county,28,may-9-2020
bellmawr,camden county,67,may-9-2020
berlin,camden county,30,may-9-2020
berlin township,camden county,11,may-9-2020
brooklawn,camden county,13,may-9-2020
camden,camden county,1119,may-9-2020
cherry hill,camden county,560,may-9-2020
chesilhurst,camden county,14,may-9-2020
clementon,camden county,38,may-9-2020
collingswood,camden county,47,may-9-2020
gibbsboro,camden county,4,may-9-2020
gloucester city,camden county,52,may-9-2020
gloucester township,camden county,340,may-9-2020
haddonfield,camden county,28,may-9-2020
haddon heights,camden county,15,may-9-2020
haddon township,camden county,55,may-9-2020
hi-nella,camden county,3,may-9-2020
laurel springs,camden county,11,may-9-2020
lawnside,camden county,22,may-9-2020
lindenwold,camden county,192,may-9-2020
magnolia,camden county,13,may-9-2020
merchantville,camden county,27,may-9-2020
mount ephraim,camden county,13,may-9-2020
oaklyn,camden county,20,may-9-2020
pennsauken township,camden county,352,may-9-2020
pine hill,camden county,64,may-9-2020
runnemede,camden county,37,may-9-2020
somerdale,camden county,30,may-9-2020
stratford,camden county,30,may-9-2020
voorhees township,camden county,253,may-9-2020
waterford township,camden county,27,may-9-2020
winslow township,camden county,281,may-9-2020
woodlynne,camden county,52,may-9-2020
avalon,cape may county,7,may-9-2020
cape may,cape may county,4,may-9-2020
dennis township,cape may county,46,may-9-2020
lower township,cape may county,129,may-9-2020
middle township,cape may county,67,may-9-2020
north wildwood,cape may county,9,may-9-2020
ocean city,cape may county,28,may-9-2020
sea isle city,cape may county,2,may-9-2020
