Municipal,County,Cases,Date
lopatcong township,warren county,255,may-10-2020
mansfield township,warren county,106,may-10-2020
oxford township,warren county,6,may-10-2020
phillipsburg,warren county,110,may-10-2020
pohatcong township,warren county,20,may-10-2020
washington,warren county,44,may-10-2020
washington township,warren county,39,may-10-2020
white township,warren county,49,may-10-2020
absecon,atlantic county,122,may-11-2020
atlantic city,atlantic county,145,may-11-2020
brigantine,atlantic county,19,may-11-2020
buena,atlantic county,30,may-11-2020
buena vista township,atlantic county,21,may-11-2020
corbin city,atlantic county,1,may-11-2020
egg harbor city,atlantic county,19,may-11-2020
egg harbor township,atlantic county,190,may-11-2020
estell manor,atlantic county,7,may-11-2020
folsom,atlantic county,9,may-11-2020
galloway township,atlantic county,180,may-11-2020
hamilton township,atlantic county,111,may-11-2020
hammonton,atlantic county,250,may-11-2020
linwood,atlantic county,56,may-11-2020
longport,atlantic county,2,may-11-2020
margate city,atlantic county,15,may-11-2020
mullica township,atlantic county,19,may-11-2020
northfield,atlantic county,69,may-11-2020
pleasantville,atlantic county,132,may-11-2020
port republic,atlantic county,3,may-11-2020
somers point,atlantic county,31,may-11-2020
ventnor city,atlantic county,28,may-11-2020
weymouth township,atlantic county,10,may-11-2020
allendale,bergen county,59,may-11-2020
alpine,bergen county,22,may-11-2020
bergenfield,bergen county,748,may-11-2020
bogota,bergen county,168,may-11-2020
carlstadt,bergen county,92,may-11-2020
cliffside park,bergen county,461,may-11-2020
closter,bergen county,81,may-11-2020
cresskill,bergen county,106,may-11-2020
demarest,bergen county,47,may-11-2020
dumont,bergen county,289,may-11-2020
east rutherford,bergen county,131,may-11-2020
edgewater,bergen county,126,may-11-2020
elmwood park,bergen county,503,may-11-2020
emerson,bergen county,196,may-11-2020
englewood,bergen county,729,may-11-2020
englewood cliffs,bergen county,53,may-11-2020
fair lawn,bergen county,580,may-11-2020
fairview,bergen county,342,may-11-2020
fort lee,bergen county,424,may-11-2020
franklin lakes,bergen county,144,may-11-2020
garfield,bergen county,733,may-11-2020
glen rock,bergen county,114,may-11-2020
hackensack,bergen county,1227,may-11-2020
harrington park,bergen county,28,may-11-2020
hasbrouck heights,bergen county,194,may-11-2020
haworth,bergen county,35,may-11-2020
hillsdale,bergen county,108,may-11-2020
ho-ho-kus,bergen county,44,may-11-2020
leonia,bergen county,106,may-11-2020
little ferry,bergen county,182,may-11-2020
lodi,bergen county,622,may-11-2020
lyndhurst,bergen county,361,may-11-2020
mahwah,bergen county,248,may-11-2020
maywood,bergen county,220,may-11-2020
midland park,bergen county,84,may-11-2020
montvale,bergen county,71,may-11-2020
moonachie,bergen county,65,may-11-2020
new milford,bergen county,424,may-11-2020
north arlington,bergen county,252,may-11-2020
northvale,bergen county,53,may-11-2020
norwood,bergen county,68,may-11-2020
oakland,bergen county,213,may-11-2020
old tappan,bergen county,60,may-11-2020
oradell,bergen county,170,may-11-2020
palisades park,bergen county,236,may-11-2020
paramus,bergen county,923,may-11-2020
park ridge,bergen county,152,may-11-2020
ramsey,bergen county,125,may-11-2020
ridgefield,bergen county,181,may-11-2020
ridgefield park,bergen county,255,may-11-2020
ridgewood,bergen county,279,may-11-2020
river edge,bergen county,132,may-11-2020
river vale,bergen county,104,may-11-2020
rochelle park,bergen county,148,may-11-2020
rockleigh,bergen county,97,may-11-2020
rutherford,bergen county,181,may-11-2020
saddle brook,bergen county,292,may-11-2020
saddle river,bergen county,72,may-11-2020
south hackensack,bergen county,56,may-11-2020
teaneck,bergen county,1017,may-11-2020
tenafly,bergen county,150,may-11-2020
teterboro,bergen county,6,may-11-2020
upper saddle river,bergen county,50,may-11-2020
waldwick,bergen county,130,may-11-2020
wallington,bergen county,156,may-11-2020
washington township,bergen county,98,may-11-2020
westwood,bergen county,189,may-11-2020
woodcliff lake,bergen county,114,may-11-2020
wood-ridge,bergen county,135,may-11-2020
wyckoff,bergen county,279,may-11-2020
bass river township,burlington county,5,may-11-2020
beverly,burlington county,15,may-11-2020
bordentown,burlington county,24,may-11-2020
bordentown township,burlington county,65,may-11-2020
burlington,burlington county,76,may-11-2020
burlington township,burlington county,340,may-11-2020
chesterfield township,burlington county,26,may-11-2020
cinnaminson township,burlington county,83,may-11-2020
delanco township,burlington county,34,may-11-2020
delran township,burlington county,92,may-11-2020
eastampton township,burlington county,46,may-11-2020
evesham township,burlington county,226,may-11-2020
fieldsboro,burlington county,5,may-11-2020
florence township,burlington county,74,may-11-2020
hainesport township,burlington county,30,may-11-2020
lumberton township,burlington county,95,may-11-2020
mansfield township,burlington county,53,may-11-2020
maple shade township,burlington county,172,may-11-2020
medford,burlington county,9,may-11-2020
medford lakes,burlington county,831,may-11-2020
moorestown,burlington county,219,may-11-2020
mount holly,burlington county,67,may-11-2020
mount laurel,burlington county,192,may-11-2020
new hanover township,burlington county,23,may-11-2020
north hanover township,burlington county,23,may-11-2020
palmyra,burlington county,35,may-11-2020
pemberton,burlington county,4,may-11-2020
pemberton township,burlington county,311,may-11-2020
riverside township,burlington county,56,may-11-2020
riverton,burlington county,5,may-11-2020
shamong township,burlington county,18,may-11-2020
southampton township,burlington county,50,may-11-2020
springfield township,burlington county,13,may-11-2020
tabernacle township,burlington county,18,may-11-2020
westampton township,burlington county,76,may-11-2020
willingboro township,burlington county,495,may-11-2020
woodland township,burlington county,200,may-11-2020
wrightstown,burlington county,7,may-11-2020
audubon,camden county,36,may-11-2020
audubon park,camden county,2,may-11-2020
barrington,camden county,28,may-11-2020
bellmawr,camden county,70,may-11-2020
berlin,camden county,30,may-11-2020
berlin township,camden county,14,may-11-2020
brooklawn,camden county,14,may-11-2020
camden,camden county,1172,may-11-2020
cherry hill,camden county,588,may-11-2020
chesilhurst,camden county,15,may-11-2020
clementon,camden county,39,may-11-2020
collingswood,camden county,47,may-11-2020
gibbsboro,camden county,4,may-11-2020
gloucester city,camden county,55,may-11-2020
gloucester township,camden county,349,may-11-2020
haddonfield,camden county,28,may-11-2020
haddon heights,camden county,15,may-11-2020
haddon township,camden county,56,may-11-2020
hi-nella,camden county,3,may-11-2020
laurel springs,camden county,11,may-11-2020
lawnside,camden county,22,may-11-2020
lindenwold,camden county,211,may-11-2020
magnolia,camden county,14,may-11-2020
merchantville,camden county,28,may-11-2020
mount ephraim,camden county,13,may-11-2020
oaklyn,camden county,20,may-11-2020
pennsauken township,camden county,379,may-11-2020
pine hill,camden county,67,may-11-2020
runnemede,camden county,40,may-11-2020
somerdale,camden county,32,may-11-2020
stratford,camden county,34,may-11-2020
voorhees township,camden county,263,may-11-2020
waterford township,camden county,27,may-11-2020
winslow township,camden county,298,may-11-2020
woodlynne,camden county,54,may-11-2020
avalon,cape may county,7,may-11-2020
cape may,cape may county,4,may-11-2020
dennis township,cape may county,46,may-11-2020
lower township,cape may county,145,may-11-2020
middle township,cape may county,74,may-11-2020
north wildwood,cape may county,9,may-11-2020
ocean city,cape may county,28,may-11-2020
sea isle city,cape may county,2,may-11-2020
upper township,cape may county,45,may-11-2020
west cape may,cape may county,2,may-11-2020
west wildwood,cape may county,3,may-11-2020
wildwood,cape may county,30,may-11-2020
wildwood crest,cape may county,10,may-11-2020
woodbine,cape may county,39,may-11-2020
vineland,cumberland county,484,may-11-2020
bridgeton,cumberland county,344,may-11-2020
millville,cumberland county,232,may-11-2020
deerfield township,cumberland county,21,may-11-2020
commercial township,cumberland county,15,may-11-2020
fairfield township,cumberland county,27,may-11-2020
lawrence township,cumberland county,20,may-11-2020
maurice river township,cumberland county,10,may-11-2020
upper deerfield township,cumberland county,48,may-11-2020
downe township,cumberland county,4,may-11-2020
greenwich township,cumberland county,3,may-11-2020
stow creek township,cumberland county,5,may-11-2020
belleville,essex county,886,may-11-2020
bloomfield,essex county,950,may-11-2020
caldwell,essex county,104,may-11-2020
cedar grove,essex county,370,may-11-2020
east orange,essex county,1670,may-11-2020
essex fells,essex county,18,may-11-2020
fairfield township,essex county,125,may-11-2020
glen ridge,essex county,35,may-11-2020
irvington,essex county,1217,may-11-2020
livingston,essex county,426,may-11-2020
maplewood,essex county,268,may-11-2020
millburn,essex county,127,may-11-2020
montclair,essex county,382,may-11-2020
newark,essex county,6293,may-11-2020
north caldwell,essex county,39,may-11-2020
nutley,essex county,456,may-11-2020
city of orange,essex county,780,may-11-2020
roseland,essex county,76,may-11-2020
south orange village,essex county,89,may-11-2020
verona,essex county,111,may-11-2020
west caldwell,essex county,196,may-11-2020
west orange,essex county,1028,may-11-2020
clayton,gloucester county,50,may-11-2020
deptford township,gloucester county,396,may-11-2020
east greenwich township,gloucester county,42,may-11-2020
elk township,gloucester county,24,may-11-2020
franklin township,gloucester county,58,may-11-2020
glassboro,gloucester county,84,may-11-2020
greenwich township,gloucester county,18,may-11-2020
harrison township,gloucester county,42,may-11-2020
logan township,gloucester county,29,may-11-2020
mantua township,gloucester county,66,may-11-2020
monroe township,gloucester county,190,may-11-2020
national park,gloucester county,12,may-11-2020
newfield,gloucester county,1,may-11-2020
paulsboro,gloucester county,44,may-11-2020
pitman,gloucester county,28,may-11-2020
south harrison township,gloucester county,19,may-11-2020
swedesboro,gloucester county,25,may-11-2020
washington township,gloucester county,237,may-11-2020
wenonah,gloucester county,12,may-11-2020
west deptford township,gloucester county,109,may-11-2020
westville,gloucester county,29,may-11-2020
woodbury,gloucester county,59,may-11-2020
woodbury heights,gloucester county,16,may-11-2020
woolwich township,gloucester county,72,may-11-2020
bayonne,hudson county,941,may-11-2020
east newark,hudson county,66,may-11-2020
guttenberg,hudson county,192,may-11-2020
harrison,hudson county,347,may-11-2020
hoboken,hudson county,531,may-11-2020
jersey city,hudson county,6201,may-11-2020
kearny,hudson county,1083,may-11-2020
north bergen,hudson county,2302,may-11-2020
secaucus,hudson county,501,may-11-2020
union city,hudson county,3058,may-11-2020
weehawken,hudson county,287,may-11-2020
alexandria township,hunterdon county,9,may-11-2020
bethlehem township,hunterdon county,17,may-11-2020
bloomsbury,hunterdon county,5,may-11-2020
califon,hunterdon county,3,may-11-2020
delaware township,hunterdon county,15,may-11-2020
east amwell township,hunterdon county,13,may-11-2020
flemington,hunterdon county,48,may-11-2020
franklin township,hunterdon county,13,may-11-2020
frenchtown,hunterdon county,6,may-11-2020
glen gardner,hunterdon county,5,may-11-2020
hampton,hunterdon county,8,may-11-2020
high bridge,hunterdon county,18,may-11-2020
holland township,hunterdon county,20,may-11-2020
kingwood township,hunterdon county,13,may-11-2020
lambertville,hunterdon county,21,may-11-2020
lebanon,hunterdon county,13,may-11-2020
lebanon township,hunterdon county,14,may-11-2020
milford,hunterdon county,3,may-11-2020
raritan township,hunterdon county,141,may-11-2020
readington township,hunterdon county,60,may-11-2020
stockton,hunterdon county,0,may-11-2020
tewksbury township,hunterdon county,18,may-11-2020
union township,hunterdon county,147,may-11-2020
west amwell township,hunterdon county,16,may-11-2020
east windsor township,mercer county,482,may-11-2020
ewing township,mercer county,475,may-11-2020
hamilton township,mercer county,1126,may-11-2020
hightstown,mercer county,122,may-11-2020
hopewell,mercer county,4,may-11-2020
hopewell township,mercer county,87,may-11-2020
lawrence township,mercer county,260,may-11-2020
pennington,mercer county,11,may-11-2020
princeton,mercer county,157,may-11-2020
robbinsville township,mercer county,80,may-11-2020
trenton,mercer county,1989,may-11-2020
west windsor township,mercer county,145,may-11-2020
carteret,middlesex county,581,may-11-2020
cranbury,middlesex county,41,may-11-2020
dunellen,middlesex county,171,may-11-2020
east brunswick,middlesex county,590,may-11-2020
edison,middlesex county,1585,may-11-2020
helmetta,middlesex county,33,may-11-2020
highland park,middlesex county,139,may-11-2020
jamesburg,middlesex county,108,may-11-2020
metuchen,middlesex county,112,may-11-2020
middlesex,middlesex county,201,may-11-2020
milltown,middlesex county,71,may-11-2020
monroe township,middlesex county,607,may-11-2020
new brunswick,middlesex county,1466,may-11-2020
north brunswick,middlesex county,779,may-11-2020
old bridge township,middlesex county,886,may-11-2020
perth amboy,middlesex county,1952,may-11-2020
piscataway,middlesex county,759,may-11-2020
plainsboro township,middlesex county,135,may-11-2020
sayreville,middlesex county,616,may-11-2020
south amboy,middlesex county,149,may-11-2020
south brunswick,middlesex county,416,may-11-2020
south plainfield,middlesex county,457,may-11-2020
south river,middlesex county,245,may-11-2020
spotswood,middlesex county,82,may-11-2020
woodbridge township,middlesex county,1668,may-11-2020
aberdeen township,monmouth county,211,may-11-2020
allenhurst,monmouth county,2,may-11-2020
allentown,monmouth county,6,may-11-2020
asbury park,monmouth county,169,may-11-2020
atlantic highlands,monmouth county,26,may-11-2020
avon-by-the-sea,monmouth county,12,may-11-2020
belmar,monmouth county,25,may-11-2020
bradley beach,monmouth county,40,may-11-2020
brielle,monmouth county,26,may-11-2020
colts neck township,monmouth county,70,may-11-2020
deal,monmouth county,23,may-11-2020
eatontown,monmouth county,224,may-11-2020
englishtown,monmouth county,37,may-11-2020
fair haven,monmouth county,22,may-11-2020
farmingdale,monmouth county,12,may-11-2020
freehold borough,monmouth county,346,may-11-2020
freehold township,monmouth county,585,may-11-2020
hazlet,monmouth county,252,may-11-2020
highlands,monmouth county,25,may-11-2020
holmdel township,monmouth county,218,may-11-2020
howell township,monmouth county,567,may-11-2020
interlaken,monmouth county,1,may-11-2020
keansburg,monmouth county,150,may-11-2020
keyport,monmouth county,79,may-11-2020
lake como,monmouth county,16,may-11-2020
little silver,monmouth county,33,may-11-2020
loch arbour,monmouth county,1,may-11-2020
long branch,monmouth county,403,may-11-2020
manalapan township,monmouth county,434,may-11-2020
manasquan,monmouth county,30,may-11-2020
marlboro township,monmouth county,412,may-11-2020
matawan,monmouth county,162,may-11-2020
middletown township,monmouth county,562,may-11-2020
millstone township,monmouth county,80,may-11-2020
monmouth beach,monmouth county,18,may-11-2020
neptune city,monmouth county,49,may-11-2020
neptune township,monmouth county,406,may-11-2020
ocean township,monmouth county,254,may-11-2020
oceanport,monmouth county,56,may-11-2020
red bank,monmouth county,166,may-11-2020
roosevelt,monmouth county,5,may-11-2020
rumson,monmouth county,31,may-11-2020
sea bright,monmouth county,9,may-11-2020
sea girt,monmouth county,13,may-11-2020
shrewsbury,monmouth county,49,may-11-2020
shrewsbury township,monmouth county,9,may-11-2020
spring lake,monmouth county,13,may-11-2020
spring lake heights,monmouth county,17,may-11-2020
tinton falls,monmouth county,174,may-11-2020
union beach,monmouth county,38,may-11-2020
upper freehold township,monmouth county,44,may-11-2020
wall township,monmouth county,268,may-11-2020
west long branch,monmouth county,58,may-11-2020
boonton,morris county,99,may-11-2020
boonton township,morris county,63,may-11-2020
butler,morris county,80,may-11-2020
chatham borough,morris county,52,may-11-2020
chatham township,morris county,121,may-11-2020
chester borough,morris county,7,may-11-2020
chester township,morris county,41,may-11-2020
denville township,morris county,141,may-11-2020
dover,morris county,606,may-11-2020
east hanover township,morris county,126,may-11-2020
florham park,morris county,116,may-11-2020
hanover township,morris county,157,may-11-2020
harding township,morris county,24,may-11-2020
jefferson township,morris county,199,may-11-2020
kinnelon,morris county,63,may-11-2020
lincoln park,morris county,286,may-11-2020
long hill township,morris county,43,may-11-2020
madison,morris county,118,may-11-2020
mendham borough,morris county,57,may-11-2020
mendham township,morris county,38,may-11-2020
mine hill township,morris county,56,may-11-2020
montville,morris county,210,may-11-2020
morris plains,morris county,53,may-11-2020
morris township,morris county,265,may-11-2020
morristown,morris county,465,may-11-2020
mount arlington,morris county,44,may-11-2020
mount olive township,morris county,234,may-11-2020
mountain lakes,morris county,18,may-11-2020
netcong,morris county,29,may-11-2020
parsippany-troy hills,morris county,644,may-11-2020
pequannock township,morris county,175,may-11-2020
randolph,morris county,252,may-11-2020
riverdale,morris county,34,may-11-2020
rockaway,morris county,92,may-11-2020
rockaway township,morris county,228,may-11-2020
roxbury township,morris county,228,may-11-2020
victory gardens,morris county,32,may-11-2020
washington township,morris county,10,may-11-2020
wharton,morris county,144,may-11-2020
barnegat township,ocean county,211,may-11-2020
barnegat light,ocean county,2,may-11-2020
bay head,ocean county,6,may-11-2020
beach haven,ocean county,7,may-11-2020
beachwood,ocean county,96,may-11-2020
berkeley township,ocean county,505,may-11-2020
brick township,ocean county,956,may-11-2020
eagleswood township,ocean county,7,may-11-2020
island heights,ocean county,9,may-11-2020
jackson township,ocean county,723,may-11-2020
lacey township,ocean county,188,may-11-2020
lakehurst,ocean county,30,may-11-2020
lakewood township,ocean county,2006,may-11-2020
lavallette,ocean county,8,may-11-2020
little egg harbor township,ocean county,108,may-11-2020
long beach township,ocean county,20,may-11-2020
manchester township,ocean county,575,may-11-2020
ocean gate,ocean county,14,may-11-2020
ocean township,ocean county,41,may-11-2020
pine beach,ocean county,9,may-11-2020
plumsted township,ocean county,49,may-11-2020
point pleasant beach,ocean county,29,may-11-2020
point pleasant,ocean county,201,may-11-2020
seaside heights,ocean county,29,may-11-2020
seaside park,ocean county,6,may-11-2020
ship bottom,ocean county,6,may-11-2020
south toms river,ocean county,74,may-11-2020
stafford township,ocean county,198,may-11-2020
surf city,ocean county,4,may-11-2020
toms river,ocean county,1307,may-11-2020
tuckerton,ocean county,15,may-11-2020
bloomingdale,passaic county,179,may-11-2020
clifton,passaic county,2527,may-11-2020
haledon,passaic county,280,may-11-2020
hawthorne,passaic county,394,may-11-2020
little falls,passaic county,140,may-11-2020
north haledon,passaic county,167,may-11-2020
passaic,passaic county,2773,may-11-2020
paterson,passaic county,6251,may-11-2020
pompton lakes,passaic county,204,may-11-2020
prospect park,passaic county,286,may-11-2020
ringwood,passaic county,114,may-11-2020
totowa,passaic county,260,may-11-2020
wanaque,passaic county,262,may-11-2020
wayne,passaic county,1202,may-11-2020
west milford,passaic county,364,may-11-2020
woodland park,passaic county,334,may-11-2020
alloway township,salem county,8,may-11-2020
carneys point township,salem county,91,may-11-2020
elmer,salem county,6,may-11-2020
lower alloways creek township,salem county,6,may-11-2020
mannington township,salem county,6,may-11-2020
oldmans township,salem county,8,may-11-2020
penns grove,salem county,95,may-11-2020
pennsville township,salem county,31,may-11-2020
pilesgrove township,salem county,11,may-11-2020
pittsgrove township,salem county,22,may-11-2020
quinton township,salem county,3,may-11-2020
salem,salem county,22,may-11-2020
upper pittsgrove township,salem county,65,may-11-2020
woodstown,salem county,21,may-11-2020
bedminster,somerset county,35,may-11-2020
bernards township,somerset county,220,may-11-2020
bernardsville,somerset county,58,may-11-2020
bound brook,somerset county,277,may-11-2020
branchburg,somerset county,73,may-11-2020
bridgewater township,somerset county,421,may-11-2020
far hills,somerset county,30,may-11-2020
franklin township,somerset county,1117,may-11-2020
green brook township,somerset county,128,may-11-2020
hillsborough township,somerset county,274,may-11-2020
manville,somerset county,128,may-11-2020
millstone,somerset county,20,may-11-2020
montgomery,somerset county,93,may-11-2020
north plainfield,somerset county,284,may-11-2020
peapack and gladstone,somerset county,38,may-11-2020
raritan,somerset county,87,may-11-2020
rocky hill,somerset county,50,may-11-2020
somerville,somerset county,110,may-11-2020
south bound brook,somerset county,55,may-11-2020
warren township,somerset county,105,may-11-2020
watchung,somerset county,77,may-11-2020
andover,sussex county,2,may-11-2020
andover township,sussex county,196,may-11-2020
branchville,sussex county,3,may-11-2020
byram township,sussex county,39,may-11-2020
frankford township,sussex county,78,may-11-2020
franklin,sussex county,41,may-11-2020
fredon township,sussex county,17,may-11-2020
green township,sussex county,12,may-11-2020
hamburg,sussex county,23,may-11-2020
hampton township,sussex county,29,may-11-2020
hardyston township,sussex county,48,may-11-2020
hopatcong,sussex county,106,may-11-2020
lafayette township,sussex county,10,may-11-2020
montague township,sussex county,22,may-11-2020
newton,sussex county,82,may-11-2020
ogdensburg,sussex county,15,may-11-2020
sandyston township,sussex county,6,may-11-2020
sparta township,sussex county,97,may-11-2020
stanhope,sussex county,19,may-11-2020
stillwater township,sussex county,11,may-11-2020
sussex,sussex county,6,may-11-2020
vernon township,sussex county,116,may-11-2020
wantage township,sussex county,50,may-11-2020
berkeley heights,union county,184,may-11-2020
clark,union county,202,may-11-2020
cranford,union county,415,may-11-2020
elizabeth,union county,4133,may-11-2020
fanwood,union county,85,may-11-2020
garwood,union county,41,may-11-2020
hillside,union county,610,may-11-2020
kenilworth,union county,135,may-11-2020
linden,union county,1196,may-11-2020
mountainside,union county,60,may-11-2020
new providence,union county,138,may-11-2020
plainfield,union county,1887,may-11-2020
rahway,union county,673,may-11-2020
roselle,union county,568,may-11-2020
roselle park,union county,248,may-11-2020
scotch plains,union county,238,may-11-2020
springfield township,union county,213,may-11-2020
summit,union county,186,may-11-2020
union township,union county,1622,may-11-2020
westfield,union county,243,may-11-2020
allamuchy township,warren county,23,may-11-2020
alpha,warren county,15,may-11-2020
belvidere,warren county,22,may-11-2020
blairstown,warren county,14,may-11-2020
franklin township,warren county,14,may-11-2020
frelinghuysen township,warren county,84,may-11-2020
greenwich township,warren county,51,may-11-2020
hackettstown,warren county,101,may-11-2020
hardwick township,warren county,6,may-11-2020
harmony township,warren county,15,may-11-2020
hope township,warren county,16,may-11-2020
independence township,warren county,25,may-11-2020
knowlton township,warren county,10,may-11-2020
liberty township,warren county,15,may-11-2020
lopatcong township,warren county,255,may-11-2020
mansfield township,warren county,106,may-11-2020
oxford township,warren county,6,may-11-2020
phillipsburg,warren county,110,may-11-2020
pohatcong township,warren county,20,may-11-2020
washington,warren county,44,may-11-2020
washington township,warren county,39,may-11-2020
white township,warren county,49,may-11-2020
absecon,atlantic county,122,may-12-2020
atlantic city,atlantic county,153,may-12-2020
brigantine,atlantic county,19,may-12-2020
buena,atlantic county,30,may-12-2020
buena vista township,atlantic county,230,may-12-2020
corbin city,atlantic county,10,may-12-2020
egg harbor city,atlantic county,190,may-12-2020
egg harbor township,atlantic county,190,may-12-2020
estell manor,atlantic county,70,may-12-2020
folsom,atlantic county,100,may-12-2020
galloway township,atlantic county,180,may-12-2020
hamilton township,atlantic county,111,may-12-2020
hammonton,atlantic county,253,may-12-2020
linwood,atlantic county,56,may-12-2020
longport,atlantic county,20,may-12-2020
margate city,atlantic county,150,may-12-2020
mullica township,atlantic county,190,may-12-2020
northfield,atlantic county,70,may-12-2020
pleasantville,atlantic county,132,may-12-2020
port republic,atlantic county,30,may-12-2020
somers point,atlantic county,310,may-12-2020
ventnor city,atlantic county,280,may-12-2020
weymouth township,atlantic county,100,may-12-2020
other,atlantic county,17,may-13-2020
allendale,bergen county,61,may-12-2020
alpine,bergen county,22,may-12-2020
bergenfield,bergen county,748,may-12-2020
bogota,bergen county,167,may-12-2020
carlstadt,bergen county,94,may-12-2020
cliffside park,bergen county,466,may-12-2020
closter,bergen county,79,may-12-2020
cresskill,bergen county,107,may-12-2020
demarest,bergen county,46,may-12-2020
dumont,bergen county,290,may-12-2020
east rutherford,bergen county,132,may-12-2020
edgewater,bergen county,126,may-12-2020
elmwood park,bergen county,510,may-12-2020
emerson,bergen county,204,may-12-2020
englewood,bergen county,733,may-12-2020
englewood cliffs,bergen county,55,may-12-2020
fair lawn,bergen county,582,may-12-2020
fairview,bergen county,343,may-12-2020
fort lee,bergen county,430,may-12-2020
franklin lakes,bergen county,145,may-12-2020
garfield,bergen county,742,may-12-2020
glen rock,bergen county,116,may-12-2020
hackensack,bergen county,1229,may-12-2020
harrington park,bergen county,28,may-12-2020
hasbrouck heights,bergen county,194,may-12-2020
haworth,bergen county,35,may-12-2020
hillsdale,bergen county,111,may-12-2020
ho-ho-kus,bergen county,45,may-12-2020
leonia,bergen county,106,may-12-2020
little ferry,bergen county,187,may-12-2020
lodi,bergen county,632,may-12-2020
lyndhurst,bergen county,364,may-12-2020
mahwah,bergen county,254,may-12-2020
maywood,bergen county,222,may-12-2020
midland park,bergen county,84,may-12-2020
montvale,bergen county,74,may-12-2020
moonachie,bergen county,65,may-12-2020
new milford,bergen county,422,may-12-2020
north arlington,bergen county,250,may-12-2020
northvale,bergen county,57,may-12-2020
norwood,bergen county,67,may-12-2020
oakland,bergen county,214,may-12-2020
old tappan,bergen county,60,may-12-2020
oradell,bergen county,175,may-12-2020
palisades park,bergen county,239,may-12-2020
paramus,bergen county,941,may-12-2020
park ridge,bergen county,154,may-12-2020
ramsey,bergen county,125,may-12-2020
ridgefield,bergen county,184,may-12-2020
ridgefield park,bergen county,257,may-12-2020
ridgewood,bergen county,283,may-12-2020
river edge,bergen county,131,may-12-2020
river vale,bergen county,106,may-12-2020
rochelle park,bergen county,153,may-12-2020
rockleigh,bergen county,99,may-12-2020
rutherford,bergen county,182,may-12-2020
saddle brook,bergen county,292,may-12-2020
saddle river,bergen county,72,may-12-2020
south hackensack,bergen county,56,may-12-2020
teaneck,bergen county,1020,may-12-2020
tenafly,bergen county,153,may-12-2020
teterboro,bergen county,6,may-12-2020
upper saddle river,bergen county,51,may-12-2020
waldwick,bergen county,130,may-12-2020
wallington,bergen county,155,may-12-2020
washington township,bergen county,98,may-12-2020
westwood,bergen county,188,may-12-2020
woodcliff lake,bergen county,116,may-12-2020
wood-ridge,bergen county,135,may-12-2020
wyckoff,bergen county,279,may-12-2020
bass river township,burlington county,5,may-12-2020
beverly,burlington county,15,may-12-2020
bordentown,burlington county,25,may-12-2020
bordentown township,burlington county,65,may-12-2020
burlington,burlington county,76,may-12-2020
burlington township,burlington county,341,may-12-2020
chesterfield township,burlington county,26,may-12-2020
cinnaminson township,burlington county,85,may-12-2020
delanco township,burlington county,34,may-12-2020
delran township,burlington county,93,may-12-2020
eastampton township,burlington county,46,may-12-2020
evesham township,burlington county,228,may-12-2020
fieldsboro,burlington county,5,may-12-2020
florence township,burlington county,74,may-12-2020
hainesport township,burlington county,30,may-12-2020
lumberton township,burlington county,95,may-12-2020
mansfield township,burlington county,53,may-12-2020
maple shade township,burlington county,175,may-12-2020
medford,burlington county,9,may-12-2020
medford lakes,burlington county,841,may-12-2020
moorestown,burlington county,220,may-12-2020
mount holly,burlington county,67,may-12-2020
mount laurel,burlington county,195,may-12-2020
new hanover township,burlington county,23,may-12-2020
north hanover township,burlington county,24,may-12-2020
palmyra,burlington county,35,may-12-2020
pemberton,burlington county,4,may-12-2020
pemberton township,burlington county,312,may-12-2020
riverside township,burlington county,56,may-12-2020
riverton,burlington county,5,may-12-2020
shamong township,burlington county,18,may-12-2020
southampton township,burlington county,50,may-12-2020
springfield township,burlington county,13,may-12-2020
tabernacle township,burlington county,18,may-12-2020
westampton township,burlington county,77,may-12-2020
willingboro township,burlington county,498,may-12-2020
woodland township,burlington county,210,may-12-2020
wrightstown,burlington county,7,may-12-2020
audubon,camden county,36,may-12-2020
audubon park,camden county,2,may-12-2020
barrington,camden county,28,may-12-2020
bellmawr,camden county,71,may-12-2020
berlin,camden county,32,may-12-2020
berlin township,camden county,14,may-12-2020
brooklawn,camden county,17,may-12-2020
camden,camden county,1189,may-12-2020
cherry hill,camden county,599,may-12-2020
chesilhurst,camden county,16,may-12-2020
clementon,camden county,41,may-12-2020
collingswood,camden county,48,may-12-2020
gibbsboro,camden county,4,may-12-2020
gloucester city,camden county,57,may-12-2020
gloucester township,camden county,358,may-12-2020
haddonfield,camden county,28,may-12-2020
haddon heights,camden county,15,may-12-2020
haddon township,camden county,56,may-12-2020
hi-nella,camden county,3,may-12-2020
laurel springs,camden county,12,may-12-2020
lawnside,camden county,22,may-12-2020
lindenwold,camden county,215,may-12-2020
magnolia,camden county,15,may-12-2020
merchantville,camden county,29,may-12-2020
mount ephraim,camden county,14,may-12-2020
oaklyn,camden county,20,may-12-2020
pennsauken township,camden county,384,may-12-2020
pine hill,camden county,68,may-12-2020
runnemede,camden county,46,may-12-2020
somerdale,camden county,32,may-12-2020
stratford,camden county,34,may-12-2020
voorhees township,camden county,272,may-12-2020
waterford township,camden county,28,may-12-2020
winslow township,camden county,313,may-12-2020
woodlynne,camden county,54,may-12-2020
avalon,cape may county,7,may-12-2020
cape may,cape may county,4,may-12-2020
dennis township,cape may county,46,may-12-2020
lower township,cape may county,156,may-12-2020
